,ID_encuesta,Encuestador,Fecha_encuesta,Sitio,Residencia_costa,Distancia_residenciaKm,Edad,Genero,Integrantes_familia,Ocupacion,Ingresos,Relacion_mar,Ave_favorita,Nota_conocimiento,Participacion_avistamiento,Lugar_conocimiento,Conoce_Larus,Nombre_Larus,FrecPercib_Larus_Verde,Benef_Larus_Verde,FrecPercib_Larus_Urbano,Benef_Larus_Urbano,FrecPercib_Larus_PlayaNat,Benef_Larus_PlayaNat,FrecPercib_Larus_PlayaInt,Benef_Larus_PlayaInt,FrecPercib_Larus_RocaNat,Benef_Larus_RocaNat,FrecPercib_Larus_RocaInt,Benef_Larus_RocaInt,Conoce_Columba,Nombre_Columba,FrecPercib_Columba_Verde,Benef_Columba_Verde,FrecPercib_Columba_Urbano,Benef_Columba_Urbano,FrecPercib_Columba_PlayaNat,Benef_Columba_PlayaNat,FrecPercib_Columba_PlayaInt,Benef_Columba_PlayaInt,FrecPercib_Columba_RocaNat,Benef_Columba_RocaNat,FrecPercib_Columba_RocaInt,Benef_Columba_RocaInt,Conoce_Pele,Nombre_Pele,FrecPercib_Pele_Verde,Benef_Pele_Verde,FrecPercib_Pele_Urbano,Benef_Pele_Urbano,FrecPercib_Pele_PlayaNat,Benef_Pele_PlayaNat,FrecPercib_Pele_PlayaInt,Benef_Pele_PlayaInt,FrecPercib_Pele_RocaNat,Benef_Pele_RocaNat,FrecPercib_Pele_RocaInt,Benef_Pele_RocaInt,Conoce_Phalacrocorax,Nombre_Phalacrocorax,FrecPercib_Phalacrocorax_Verde,Benef_Phalacrocorax_Verde,FrecPercib_Phalacrocorax_Urbano,Benef_Phalacrocorax_Urbano,FrecPercib_Phalacrocorax_PlayaNat,Benef_Phalacrocorax_PlayaNat,FrecPercib_Phalacrocorax_PlayaInt,Benef_Phalacrocorax_PlayaInt,FrecPercib_Phalacrocorax_RocaNat,Benef_Phalacrocorax_RocaNat,FrecPercib_Phalacrocorax_RocaInt,Benef_Phalacrocorax_RocaInt,Conoce_Turdus,Nombre_Turdus,FrecPercib_Turdus_Verde,Benef_Turdus_Verde,FrecPercib_Turdus_Urbano,Benef_Turdus_Urbano,FrecPercib_Turdus_PlayaNat,Benef_Turdus_PlayaNat,FrecPercib_Turdus_PlayaInt,Benef_Turdus_PlayaInt,FrecPercib_Turdus_RocaNat,Benef_Turdus_RocaNat,FrecPercib_Turdus_RocaInt,Benef_Turdus_RocaInt,Conoce_Zonotrichia,Nombre_Zonotrichia,FrecPercib_Zonotrichia_Verde,Benef_Zonotrichia_Verde,FrecPercib_Zonotrichia_Urbano,Benef_Zonotrichia_Urbano,FrecPercib_Zonotrichia_PlayaNat,Benef_Zonotrichia_PlayaNat,FrecPercib_Zonotrichia_PlayaInt,Benef_Zonotrichia_PlayaInt,FrecPercib_Zonotrichia_RocaNat,Benef_Zonotrichia_RocaNat,FrecPercib_Zonotrichia_RocaInt,Benef_Zonotrichia_RocaInt,Origen_Columba,Origen_Pele,Origen_Phalacrocorax,Origen_Larus,Origen_Turdus,Origen_Zonotrichia,Bienestar_aves_Verdes,Agrado_aves_Verde,Agrado_aves_Verde_otro,Desagrado_aves_Verde,Desagrado_aves_Verde_otro,Frec_visita_Verde,Frec_infancia_Verde,Bienestar_aves_Urbano,Agrado_aves_Urbano,Agrado_aves_Urbano_otro,Desagrado_aves_Urbano,Desagrado_aves_Urbano_otro,Frec_visita_Urbano,Frec_infancia_Urbano,Bienestar_aves_PlayaNat,Agrado_aves_PlayaNat,Agrado_aves_PlayaNat_otro,Desagrado_aves_PlayaNat,Desagrado_aves_PlayaNat_otro,Frec_visita_PlayaNat,Frec_infancia_PlayaNat,Bienestar_aves_PlayaInt,Agrado_aves_PlayaInt,Agrado_aves_PlayaInt_otro,Desagrado_aves_PlayaInt,Desagrado_aves_PlayaInt_otro,Frec_visita_PlayaInt,Frec_infancia_PlayaInt,Bienestar_aves_RocaNat,Agrado_aves_RocaNat,Agrado_aves_RocaNat_otro,Desagrado_aves_RocaNat,Desagrado_aves_RocaNat_otro,Frec_visita_RocaNat,Frec_infancia_RocaNat,Bienestar_aves_RocaInt,Agrado_aves_RocaInt,Agrado_aves_RocaInt_otro,Desagrado_aves_RocaInt,Desagrado_aves_RocaInt_otro,Frec_visita_RocaInt,Frec_infancia_RocaInt,submit_time
6,AT191262,FRAN,20-01-2020,SECTOR 5,2,4,57,2,4,ARTESANO,2,RECOGER CONCHITAS Y CAMINAR,ALBATROS,4,1,,1,GAVIOTA DOMINICANA,,,4,5,,,,,,,7,7,1,PALOMA COMUN,7,5,,,,,7,5,,,,,1,PELICANO,,,0,1,7,7,,,,,,,1,PATO YECO,,,,,,,4,7,7,7,,,1,ZORZAL,,,6,5,,,,,,,0,1,1,CHINCOL,7,7,,,,,,,0,1,,,1,2,2,2,1,1,7,2,,5,,2,2,7,1,,2,,1,2,7,2,,5,,1,1,7,2,,5,,1,1,7,2,,5,,1,1,7,2,,2,,1,1,Thu Dec 19 10:03:03 2019
,MM191158,FRAN,20-01-2020,SECTOR 5,2,133,60,1,5,DUENA DE CASA,5,DESCANSAR,PELICANO,1,1,,1,GAVIOTA,2,4,,,,,,,,,7,7,1,PALOMA,,,7,3,,,,,,,0,1,1,PELICANO,0,1,,,,,6,7,,,,,1,PATO,,,,,,,4,7,,,3,6,1,NO SABE,,,,,0,4,,,2,5,,,1,GORRION,,,,,0,5,,,2,5,,,1,2,2,2,1,1,7,1,,2,,3,2,7,3,,2,,1,2,7,2,,2,,3,1,7,3,,2,,3,1,7,1,,5,,4,2,5,2,,2,,3,1,Thu Dec 19 10:47:34 2019
1,JD11041996,FRAN,2020-01-21,ROCA OCEANICA,1,180,23,2,4,ESTUDIANTE DE U,3,DESCANSAR EN LA ARENA,PELICANO,2,1,,1,GAVIOTA,5,4,5,2,,,,,,,,,1,PALOMA,,,,,,,6,4,4,3,,,1,PELICANO,0,1,,,,,,,,,7,7,1,NO SABE,0,6,,,,,,,7,7,,,2,NO SABE,,,0,5,,,,,6,6,,,1,NO SABE,,,,,2,3,4,3,,,,,1,2,2,2,2,1,7,2,,5,,1,2,7,3,,5,,1,1,7,2,,5,,2,2,6,5,,2,,1,1,7,2,,5,,1,2,7,2,,5,,1,1,Thu Dec 19 12:52:24 2019
2,SR19101993,FRAN,2020-01-21,ROCA OCEANICA,1,4,26,1,2,ESTUDIANTE,2,COMPARTIR CON AMIGOS,GORRION,1,1,,1,GAVIOTA,,,,,,,,,7,7,7,6,1,PALOMA,,,,,4,3,,,4,3,,,1,PELICANO,0,1,,,,,,,7,7,,,2,NO SABE,2,6,,,,,1,5,,,,,2,NO SABE,6,7,,,,,,,,,2,2,1,NO SABE,5,7,,,,,,,4,7,,,1,2,1,2,1,1,7,4,,3,,1,3,7,1,,2,,1,3,6,2,,2,,1,1,7,1,,1,,1,1,7,2,,5,,1,1,7,1,,2,,1,1,Thu Dec 19 13:27:28 2019
4,EV19071964,FRAN,2020-01-21,ROCA OCEANICA,1,0.5,57,2,3,ARTESANO,2,CONTEMPLAR EL MAR,PIQUERO,4,1,,1,GAVIOTA,6,4,,,,,,,,,7,7,1,PALOMA,,,,,3,1,,,,,5,6,1,PELICANO,,,3,1,,,,,7,7,,,2,NO SABE,,,4,6,,,1,5,,,,,1,NO SABE,,,,,0,1,0,2,,,,,1,GUANAYA,0,1,,,,,6,7,,,,,1,2,2,2,1,1,7,3,,5,,2,1,6,2,,3,,2,1,7,2,,5,,3,2,7,3,,5,,1,3,7,2,,5,,1,1,7,2,,5,,1,1,Thu Dec 19 14:46:15 2019
6,HP11061992,FRAN,2020-01-21,HUMEDAL RENACA,1,4,27,2,2,MEDICO,5,TOMAR SOL,PINGUINO,1,1,,1,GAVIOTA,,,,,7,7,,,7,7,,,1,PALOMA,,,,,1,1,,,,,4,1,1,NO SABE,,,,,7,7,,,,,7,7,1,NO SABE,,,,,5,5,1,1,,,,,1,GORRION,7,7,,,,,,,,,1,1,1,GORRION,7,7,,,,,4,5,,,,,1,2,2,2,1,1,7,3,,5,,2,2,7,4,,4,,1,2,7,2,,3,,1,1,7,4,,5,,1,1,7,3,,2,,1,1,5,1,,2,,4,1,Thu Dec 19 16:40:54 2019
7,AP16061991,FRAN,2020-01-21,ROCA OCEANICA,2,134,28,1,4,ESTUDIANTE DE U,4,LEER Y SACAR FOTOS,GAVIOTA,2,1,,1,GAVIOTA,,,5,4,,,7,6,,,,,1,PALOMA,,,7,3,,,,,,,4,3,1,PELICANO,0,2,,,7,7,,,,,,,2,NO SABE,,,,,,,,,3,6,3,5,1,NO SABE,,,,,,,3,6,,,0,1,1,NO SABE,,,,,0,2,,,1,5,,,1,2,1,2,1,1,7,1,,5,,1,3,6,3,,2,,1,1,7,4,,5,,3,3,6,1,,2,,3,3,7,2,,5,,3,3,6,3,,2,,3,3,Thu Dec 19 16:41:07 2019
9,MB01042000,FRAN,2020-01-21,LOS LILENES,2,180,19,1,5,ESTUDIANTE DE ARTE,5,DESCANSAR,PELICANO,1,1,,1,GAVIOTA,,,,,6,7,6,7,,,,,1,PALOMA,7,6,,,,,6,5,,,,,1,PELICANO,,,1,1,,,5,7,,,,,2,NO SABE,,,,,1,1,,,,,4,1,1,NO SABE,,,,,0,1,3,3,,,,,2,NO SABE,5,7,,,,,1,7,,,,,1,2,2,2,1,1,7,2,,2,,2,2,7,2,,2,,1,1,6,3,,5,,3,3,7,3,,5,,3,3,7,2,,5,,3,2,7,2,,5,,3,3,Thu Dec 19 16:45:52 2019
10,DC13091994,FRAN,2020-01-21,HUMEDAL RENACA,1,2,25,2,2,MEDICO,4,BANARME EN EL MAR,PELICANO,2,1,,1,GAVIOTA,4,3,,,,,,,,,7,5,1,PALOMA,7,2,,,,,,,,,5,1,1,PELICANO,,,2,1,6,6,,,,,,,1,NO SABE,2,1,1,1,,,,,,,,,2,NO SABE,,,,,1,1,,,,,1,1,1,GORRION,6,5,,,1,1,,,,,,,1,2,2,1,1,1,6,3,,2,,1,2,4,3,,5,,1,2,7,4,,3,,1,1,6,3,,3,,1,1,7,4,,2,,2,1,6,3,,2,,2,1,Thu Dec 19 17:05:10 2019
1,NA06021967,FRAN,2020-01-22,MUELLE BARON,1,24,53,1,9,PROMOTORA VENTAS,2,TOMAR SOL,PIQUERO,1,1,,1,GAVIOTA,1,1,,,,,,,,,7,7,1,PALOMA,,,,,,,7,7,5,6,,,1,PELICANO,,,,,,,7,7,,,7,7,1,NO SABE,,,,,1,4,,,,,4,5,1,ZORZAL,6,7,,,,,,,0,1,,,1,GORRION,,,7,7,,,6,6,,,,,1,2,2,2,1,1,7,4,,5,,1,2,7,1,,5,,1,3,7,3,,2,,2,3,7,2,,2,,2,1,7,2,,5,,2,1,7,2,,5,,1,2,Thu Dec 19 21:22:06 2019
2,AA12121991,FRAN,2020-01-22,MUELLE BARON,1,2,28,2,4,BIOLOGO MARINO,3,CONTEMPLAR EL MAR,PIQUERO,4,2,TERRENO U,1,GAVIOTA DOMINICANA,,,,,,,,,7,7,7,6,1,PALOMA,,,,,5,3,7,4,,,,,1,PELICANO,0,1,,,,,,,7,7,,,1,YECO,,,0,1,,,2,2,,,,,1,NO SABE,6,7,,,,,,,0,3,,,1,NO SABE,,,7,6,,,4,4,,,,,1,2,2,2,1,1,7,3,,5,,2,3,6,4,,5,,1,2,7,2,,5,,1,1,6,2,,2,,1,3,7,2,,5,,2,1,7,3,,2,,1,1,Thu Dec 19 21:47:08 2019
3,JT31071988,FRAN,2020-01-22,MUELLE BARON,2,38,31,2,3,QUIMICO,3,COMER EMPANDA,ZARAPITO,5.5,1,,1,GAVIOTA,,,7,2,7,7,,,,,,,1,PALOMA,,,7,7,,,7,5,,,,,1,PELICANO,,,1,1,,,,,6,7,,,1,CORMORAN NEGRO,,,1,1,,,,,,,7,5,1,ZORZAL,,,7,5,,,,,,,0,1,1,CHINCOL,,,,,0,1,6,6,,,,,1,2,2,2,1,1,7,2,,5,,3,1,7,1,,3,,1,1,7,2,,5,,1,1,7,1,,2,,1,1,7,2,,5,,4,1,5,2,,3,,1,1,Thu Dec 19 21:52:51 2019
4,LS12061959,FRAN,2020-01-22,PARQUE EL LITRE,1,12,60,2,1,GUARDIA DE SEGURIDAD,3,BANARSE EN EL MAR,ALBATROS,4,1,,1,GAVIOTA,,,7,7,,,7,6,,,,,1,PALOMA URBANA,7,7,,,,,,,0,1,,,1,PELICANO,,,0,1,7,7,,,,,,,1,CORMORAN,0,1,,,,,,,5,6,,,1,ZORZAL,7,7,,,0,1,,,,,,,1,CHINCOL,,,5,7,,,,,,,0,1,1,2,2,2,1,1,7,4,,5,,1,1,7,2,,5,,1,3,6,3,,5,,3,2,5,3,,5,,2,2,7,3,,5,,3,2,7,3,,5,,2,2,Thu Dec 19 23:32:40 2019
5,MM31011970,FRAN,2020-01-22,PARQUE EL LITRE,2,134,49,1,4,SICOLOGA,4,LEER Y CONTEMPLAR EL MAR,GOLONDRINA,2,1,,1,GAVIOTA,,,6,5,,,,,,,7,7,1,PALOMA,7,7,,,,,6,5,,,,,1,PELICANO,,,1,3,,,,,,,7,7,2,NO SABE,0,1,,,,,2,4,,,,,1,NO SABE,7,7,,,,,,,0,3,,,1,NO SABE,,,,,0,1,,,,,0,1,1,2,1,2,1,1,7,2,,5,,1,3,7,4,,5,,1,3,7,2,,5,,2,1,6,3,,2,,2,1,7,2,,5,,3,3,7,3,,2,,3,3,Thu Dec 19 23:54:30 2019
1,at2881960,GIORGIA,2020-03-06,RENACA CENTRO,2,4,59,2,7,Cuidador autos,2,"mirarel mar, recuerdos infancia",gaviota,5,1,,1,GAVIOTA,,,,,,,7,7,,,7,7,1,PALOMA,,,7,7,,,7,7,,,,,1,PELICANO,3,7,3,6,,,,,,,,,1,TAGUA,4,7,,,,,,,4,7,,,1,ZORZAL,,,,,,,0,7,7,7,,,1,GORRION,,,,,,,7,7,1,7,,,1,2,1,2,1,1,7,2,,5,,1,2,7,2,,2,,1,1,7,2,,5,,3,2,7,1,,5,,1,2,7,4,,5,,2,2,7,2,,5,,4,2,Fri Dec 20 00:04:05 2019
2,GC2978,GIORGIA,2020-01-06,RENACA CENTRO,1,1,30,2,4,ESTACIONAMIENTO CENTRO CONERCIAL,3,LIMPIAR Y CONTEMPLAR,GAVIOTAS,3,1,,1,GAVIOTA,,,,,7,7,,,,,7,7,1,PALOMA,,,7,7,,,,,,,0,7,1,PELICANO,,,,,7,7,,,7,7,,,2,no ,,,3,7,,,,,4,7,,,2,NO,3,7,1,7,,,,,,,,,1,NO,,,,,2,7,7,7,,,,,1,2,2,2,1,1,7,4,ALEGRAN,5,,1,3,7,3,,2,,1,1,7,4,,5,,1,1,7,4,,5,,1,1,7,2,,5,,1,1,7,3,,5,,4,3,Fri Dec 20 00:43:39 2019
3,hm28111993,GIORGIA,2020-03-07,CASA,1,1,26,2,2,tec mecanico,2,caminar foografia,pelicano,3,1,,1,gaviota,,,2,1,,,,,7,5,,,1,paloma,,,,,7,3,,,,,7,3,1,pelicano,0,1,0,1,,,,,,,,,1,pato,,,,,4,5,,,5,7,,,1,zorzal,5,5,2,3,,,,,,,,,1,no,,,,,,,,,3,5,0,1,1,1,1,1,1,1,5,3,,5,,2,2,1,5,,1,no es natural,1,1,5,3,,5,,1,3,3,1,,3,,1,1,7,3,,5,,1,1,5,3,,5,,3,2,Fri Dec 20 01:38:04 2019
1,tec301172,GIORGIA,2020-03-10,MUELLE BARON,1,0.5,47,2,1,gerente puerto deportivo,4,act nauticas vela sup urf,albatros,5,3,salida junto agrupos d istsmiento,1,gaviota,,,,,7,7,,,,,7,5,1,paloma,,,,,0,1,,,,,5,1,1,pelicano,,,,,7,7,3,7,,,,,1,yeco,1,1,1,3,,,,,,,,,1,no rec,,,,,,,1,4,1,4,,,1,no,5,5,,,,,1,1,,,,,1,2,2,2,1,1,7,3,,5,,1,1,6,2,,5,,1,3,7,3,,5,,1,3,6,2,,3,,1,3,7,3,,5,,1,1,7,3,,2,,1,1,Sat Mar  7 09:11:44 2020
2,ks03061991,GIORGIA,2020-03-10,MUELLE BARON,1,13,28,1,2,INSTRUCTORA BUCEO,2,BUCEO,PILPILEN,3,2,TALLER,1,DOMINICANA,7,4,,,,,,,7,7,,,1,PALOMA,5,5,,,,,,,,,4,3,1,PELICANO,,,0,1,,,,,7,7,,,1,YECO,2,1,,,,,,,,,7,4,1,ZORZAL,,,1,7,,,,,0,5,,,1,CHINCOL,,,,,,,4,5,2,7,,,1,2,2,2,1,1,5,2,,2,,1,1,7,3,,5,,1,3,7,3,,5,,1,1,7,3,,5,,1,2,7,4,,5,,1,1,6,2,,5,,1,1,Sat Mar  7 09:36:32 2020
3,GM1234,GIORGIA,2020-03-10,MUELLE BARON,1,6,80,2,4,NEGOCIO,2,TRABAJO,GAVIOTA,1,1,,1,GAVIOTA,,,7,1,,,,,7,7,,,1,PALOMA,7,7,,,3,2,,,,,,,1,NO SABE,,,,,,,1,4,3,7,,,1,PATO GUANAY,,,0,1,2,5,,,,,,,1,JILGERO,,,0,7,1,1,,,,,,,1,GORRION,1,7,,,,,,,3,7,,,1,2,2,2,1,1,5,1,,5,,3,2,6,2,,5,,1,3,7,2,,5,,3,3,4,2,,5,,4,3,7,2,,5,,4,2,7,2,,5,,2,3,Sat Mar  7 10:29:10 2020
4,gus2082,GIORGIA,2020-03-10,MUELLE BARON,1,0.4,35,2,2,INSTRUCTOR NAUTICO,4,NAVEGACION,GAV MONJA,4,3,TALLERES,1,GAVIOTA,3,4,,,7,7,,,,,,,1,PALOMA,7,4,,,,,,,0,2,,,1,PELICANO,0,2,,,,,4,7,,,,,1,CORMORAN,,,1,7,4,7,,,,,,,1,NO,,,,,0,7,,,,,2,7,2,NO,,,6,7,,,,,0,4,,,1,2,2,2,1,1,7,3,,5,,1,2,7,3,,5,,1,1,7,3,,5,,1,2,7,3,,5,,1,2,7,3,,5,,1,1,7,3,,5,,1,1,Sat Mar  7 10:53:06 2020
1,gc14051998,GIORGIA,2020-03-11,MUELLE BARON,1,4,21,2,4,TRABAJADOR,3,TRABAJO Y DEPORTE,GAVIOTIN,1,2,TALLER,1,GAVIOTA,,,,,,,6,6,,,7,5,1,PALOMA,,,,,,,3,2,3,2,,,1,PELICANO,,,0,1,,,,,6,6,,,1,NO,,,3,1,,,5,5,,,,,2,NO,,,,,,,7,6,5,5,,,1,NO,,,7,6,,,,,,,0,1,1,2,2,2,1,1,6,3,,2,,1,2,4,3,,2,,1,3,7,3,,2,,1,1,4,3,,2,,1,1,6,3,,5,,1,1,4,5,,2,,4,2,Tue Mar 10 17:47:34 2020
2,wl29081999,GIORGIA,2020-03-11,MUELLE BARON,1,6,20,2,4,MANIOBRAS NAUTICAS,3,"TROTAR, BANO PLAYA",INGUNA,2,1,,1,GAVIOTA,,,,,7,7,7,5,,,,,1,PALOMA,,,,,,,7,1,3,1,,,1,PELICANO,,,,,,,,,,,,,1,NO,,,,,7,5,,,,,5,4,2,COLIBRI,,,5,5,,,,,1,3,,,1,GORRION,,,,,0,4,,,,,2,5,1,2,2,2,1,1,7,2,,2,,1,1,7,2,,2,,1,3,7,2,,2,,1,2,5,3,,2,,2,3,6,2,,2,,1,3,7,2,,2,,1,1,Tue Mar 10 18:52:09 2020
3,CA1661950,GIORGIA,2020-03-11,MUELLE BARON,1,0,69,2,1,JUBILADO,1,RELAJO CAMINANO PLAYA,PELICANO,4,1,,1,GAVIOTA,7,7,,,,,7,7,,,,,1,PALOMA,7,7,7,5,,,,,,,,,1,PELICANO,0,7,,,,,,,,,7,7,1,PATO MAR,,,,,7,6,,,,,7,6,2,NO,,,,,,,,,0,7,0,7,1,NO,,,,,,,7,7,4,7,,,1,2,2,2,1,1,7,4,BELLEZA,2,,1,3,7,2,,2,,2,2,7,3,,5,,1,1,7,2,,5,,1,1,7,2,,5,,1,1,7,2,,2,,1,1,Tue Mar 10 18:38:08 2020
5,dsm020597,GIORGIA,2020-03-11,MUELLE BARON,1,6,22,2,5,TRABJ PUERTO DEP,2,TRABAJO,NINGUNA,4,1,,1,GAVIOTA,,,4,4,,,7,5,,,,,1,PALOMA,,,,,2,5,6,4,,,,,1,PELICANO,,,,,7,6,7,6,,,,,1,PATO YECO,2,5,,,6,6,,,,,,,1,NO,,,,,4,5,,,,,4,5,1,NO SABE,7,7,,,,,,,5,6,,,1,2,2,2,1,1,7,2,,2,,1,3,5,5,,3,,1,1,7,2,,3,,1,1,6,2,,2,,1,1,7,2,,2,,1,2,6,2,,2,,1,1,Tue Mar 10 19:12:10 2020
6,DFG18121974,GIORGIA,2020-03-11,MUELLE BARON,1,0.5,44,1,1,EMPRESARIA,3,RESPIRAR,PELICANO,4,1,,1,GAVIOTA,2,1,,,,,,,7,7,,,1,PALOMA,,,7,1,,,7,1,,,,,1,PELICANO,,,,,,,7,7,,,7,7,1,PATO,,,,,1,1,,,1,3,,,2,NO,7,7,2,7,,,,,,,,,1,NO,,,,,1,2,,,3,7,,,1,2,2,2,1,1,7,3,,5,,3,2,7,2,,5,,1,3,7,3,,5,,1,1,5,3,,2,,1,3,7,3,,5,,2,1,7,3,,5,,1,1,Tue Mar 10 19:38:57 2020
1,MG1110,GIORGIA,2020-03-12,PLAZA GABRIELA MISTRAL,1,1.5,54,2,1,ADMINISTRADOR,2,DISFRUTA AIRE MARINO,NO,2,1,,1,GAVIOTA,,,,,7,7,5,5,,,,,1,PALOMA,,,7,6,,,,,,,3,5,1,PELICANO,1,1,,,7,7,,,,,,,2,NO,,,,,,,,,6,7,3,6,2,NO,,,1,2,,,,,6,6,,,2,NO,,,,,4,7,,,3,7,,,1,2,1,2,2,1,6,3,,5,,2,1,5,2,,5,,1,1,5,2,,5,,3,3,4,5,,3,,2,1,7,3,,5,,1,1,6,2,,3,,3,2,Tue Mar 10 21:58:58 2020
5,JV1871,GIORGIA,2020-03-13,LAS SALINAS,1,13,54,1,3,MUCAMA,3,BANARSE,NO,4,1,,1,GAVIOTA,0,7,0,7,,,,,,,,,1,PAOMA,7,7,,,,,,,,,5,1,1,PELICANO,0,7,,,,,7,7,,,,,2,NO,4,1,,,4,4,,,,,,,1,NO,4,7,,,,,,,,,4,7,1,NO,,,0,7,,,,,,,2,7,1,2,1,2,2,1,7,2,,5,,2,1,7,3,,5,,1,3,7,1,,1,,4,1,7,1,,5,,1,1,7,2,,5,,2,1,7,2,,5,,4,1,Wed Mar 11 01:46:22 2020
7,cv30011992,GIORGIA,2020-03-13,LAS SALINAS,1,5,28,1,6,RECEPCIONISTA,3,CAMINAR,TORTOLAS,2,1,,1,GAVIOTA,,,5,4,,,,,,,7,7,1,PALOMA,,7,,,,,,,4,4,5,6,1,PELICANO,,,,,,,6,7,7,7,,,2,NO,5,6,,,,,3,3,,,,,1,ZORZAL,,,,,2,2,2,3,,,,,1,NO,,,,,2,2,,,,,3,3,1,2,1,2,1,1,7,2,,5,,2,3,5,4,,5,,1,3,6,2,,5,,4,2,5,4,,2,,1,3,7,3,,5,,2,3,5,2,,5,,3,2,Wed Mar 11 02:05:14 2020
8,EA1962,GIORGIA,2020-03-13,LAS SALINAS,1,13,57,1,3,MUCAMA,2,TRABAJO,NO,2,1,,1,GAVIOTA,,,,,7,7,,,,,7,7,1,PALOMA,7,7,,,,,,,3,5,,,1,PELICANO,,,,,,,5,5,,,7,7,1,PATO,,,0,2,,,,,7,7,,,1,JILGERO,7,7,,,1,1,,,,,,,1,CHINCOL,7,7,,,1,2,,,,,,,1,2,2,2,1,1,7,2,,5,,1,3,1,5,,5,,1,3,7,4,,5,,1,1,5,5,,3,,4,3,7,3,,5,,1,3,7,2,,5,,4,1,Wed Mar 11 02:23:14 2020
9,SA21051966,GIORGIA,2020-03-13,LAS SALINAS,1,4,53,1,2,MUCAMA,1,CAMINANDO ORILLA,GAVIOTA,4,1,,1,GAVIOTA,,,7,7,5,7,,,,,,,1,PALOMA,,,,,1,3,,,4,4,,,1,PELICANO,0,7,0,6,,,,,,,,,2,NO,,,4,6,2,5,,,,,,,1,NO,,,,,,,,,4,6,3,7,1,NO,5,6,,,,,,,4,5,,,1,2,2,2,1,1,7,2,,5,,1,3,7,3,,5,,1,3,,4,,5,,1,1,7,3,,5,,1,1,7,4,,5,,2,1,7,4,,5,,4,3,Wed Mar 11 02:46:03 2020
10,dp201099,GIORGIA,2020-03-13,LAS SALINAS,1,6,20,1,8,RECEPCIONISTA,3,CAMINAR,AGUILA,4,3,TALLER,1,GAVIOTA,,,2,7,,,,,7,,,,1,PALOMA,,,7,7,,,7,,,,,,1,PELICANO,5,7,,,,,,,,,7,7,1,NO,7,7,,,5,7,,,,,,,1,ZORZAL,7,,,,,,0,7,,,,,1,NO,7,7,,,,,,,5,7,,,1,1,2,1,1,1,7,2,,5,,1,1,7,2,,5,,1,1,7,3,,5,,1,1,7,4,,5,,1,1,7,3,,5,,1,1,7,3,,5,,1,1,Wed Mar 11 03:13:11 2020
